player_id,specialization,batting_style,bowling_style,batting_skill,bowling_skill,fielding_skill,recent_form
0,Bowler,Right-hand,Left-arm Fast,4.697088266985949,8.986317903479772,9.777418344772451,4.924121534752704
1,Bowler,Right-hand,Right-arm Fast,5.385917372138618,5.7982065323291625,9.787212979203904,6.081386595893688
2,Batsman,Right-hand,Left-arm Fast,8.903155013158763,1.755716745605603,6.260302695003954,7.7189911873462265
3,Bowler,Right-hand,Left-arm Fast,4.090038789488597,7.573016939792774,7.443652740400783,6.379929410011306
4,Wicket-keeper,Right-hand,Right-arm Fast,5.858445731494464,1.266375599560224,7.755668506592267,8.789893366204693
5,Wicket-keeper,Right-hand,Right-arm Spin,3.6173567103799957,1.0983395196001662,9.96055862054601,6.45337772938063
6,Batsman,Left-hand,None,9.573143863233847,2.960358482947823,5.971433384032893,7.975203684695747
7,Batsman,Right-hand,Right-arm Spin,7.5218131645160025,2.010614494507826,9.300487360221428,7.091417428992279
8,All-rounder,Left-hand,Right-arm Fast,9.155721811945401,8.75384907011869,7.185195757873304,8.230554569423385
9,Wicket-keeper,Left-hand,Left-arm Fast,4.487174542682432,3.7812143663363496,7.705511149037614,8.722997458345233
10,All-rounder,Left-hand,Left-arm Fast,6.08642880824491,7.864024070836807,9.211645185032863,8.86472107152539
11,All-rounder,Right-hand,Right-arm Spin,5.2194352529799914,5.060230815167036,7.73632603580448,5.769809406317008
12,Batsman,Right-hand,Right-arm Spin,8.61816251655073,2.9474775254017147,7.189200037734564,4.1781779416534635
13,Batsman,Right-hand,Right-arm Spin,9.61166048904285,3.9713389694851022,6.185702896409321,5.766663375396866
14,Wicket-keeper,Right-hand,Left-arm Spin,5.369458764612563,2.1422104464690737,6.267339382876608,6.4613662106848775
15,Bowler,Right-hand,Left-arm Fast,2.122469640111375,5.318111326389222,6.841760984788225,7.986620254003231
16,Batsman,Left-hand,Left-arm Spin,7.344911249155007,3.7957476187362507,9.356087116026146,7.089414609412602
17,Batsman,Right-hand,None,6.633507445473534,2.2137754610952456,7.405691900791038,5.9859405198367535
