match_id,overs_remaining,wickets_down,current_run_rate,target_score,win_probability
6a7fa1bcd3a7ec788d633e5f,19,1,6,185,0
6a7fa1bcd3a7ec788d633e5f,18,1,5.5,185,0
6a7fa1bcd3a7ec788d633e5f,17,1,7.333333333333333,185,0
6a7fa1bcd3a7ec788d633e5f,16,1,7.75,185,0
6a7fa1bcd3a7ec788d633e5f,16,1,8,185,0
6a7fa1bcd3a7ec788d633e5f,15,2,8,185,0
6a7fa1bcd3a7ec788d633e5f,14,2,8,185,0
6a7fa1bcd3a7ec788d633e5f,13,2,7.428571428571429,185,0
6a7fa1bcd3a7ec788d633e5f,12,2,7.125,185,0
6a7fa1bcd3a7ec788d633e5f,11,3,7.222222222222222,185,0
6a7fa1bcd3a7ec788d633e5f,10,4,6.9,185,0
6a7fa1bcd3a7ec788d633e5f,9,4,7.636363636363637,185,0
6a7fa1bcd3a7ec788d633e5f,9,4,7.7272727272727275,185,0
6a7fa1bcd3a7ec788d633e5f,8,4,8.5,185,0
6a7fa1bcd3a7ec788d633e5f,7,4,8.538461538461538,185,0
6a7fa1bcd3a7ec788d633e5f,6,5,8.071428571428571,185,0
6a7fa1bcd3a7ec788d633e5f,6,5,8.142857142857142,185,0
6a7fa1bcd3a7ec788d633e5f,5,5,7.733333333333333,185,0
6a7fa1bcd3a7ec788d633e5f,4,5,7.75,185,0
6a7fa1bcd3a7ec788d633e5f,3,6,7.588235294117647,185,0
6a7fa1bcd3a7ec788d633e5f,2,6,8.166666666666666,185,0
6a7fa1bcd3a7ec788d633e5f,1,6,8.263157894736842,185,0
6a7fa1bcd3a7ec788d633e63,19,0,7,172,1
6a7fa1bcd3a7ec788d633e63,18,0,10,172,1
6a7fa1bcd3a7ec788d633e63,17,0,11.666666666666666,172,1
6a7fa1bcd3a7ec788d633e63,16,0,10.25,172,1
6a7fa1bcd3a7ec788d633e63,15,0,11,172,1
6a7fa1bcd3a7ec788d633e63,14,1,11,172,1
6a7fa1bcd3a7ec788d633e63,13,2,11,172,1
6a7fa1bcd3a7ec788d633e63,12,3,10.5,172,1
