overs_remaining,wickets_down,current_run_rate,target_score,runs_scored,pitch_type,opposition_strength,recommended_batsman,recommended_bowler,win_probability
9.51988611360262,4,7.116087436224751,194,101,1,6.2704583061512045,88,132,0.6678043718112375
1.804735166946586,5,8.828262734022042,134,98,2,8.89529502837222,165,61,0.7734131367011021
10.508653548062938,9,9.329274776229358,146,20,2,6.076176862909416,150,43,0.37446373881146794
12.273543505722913,2,8.966982803487102,182,171,3,7.158952358006092,63,168,0.9843491401743553
4.192797125222294,7,5.357458304333901,170,70,2,8.837414572214785,74,94,0.3278729152166951
7.000346763582487,8,7.446076559735223,124,79,2,9.243826161067815,60,43,0.42430382798676114
16.20034918824006,6,11.9328235744547,216,148,3,7.958478349229023,192,63,0.6646411787227351
9.307250035348751,8,10.60873823980358,172,46,3,6.535910118778488,86,133,0.48643691199017897
5.154389173979908,4,7.048597665111504,169,1,3,7.683297917487698,134,63,0.7144298832555751
17.74357951780451,1,7.117157783934889,212,77,3,8.691637644900188,30,53,0.9318578891967444
18.408575518090217,5,10.437915915797939,184,107,2,8.48655672322073,77,20,0.753895795789897
5.004479270161691,5,6.67887437964397,123,10,1,7.7520093654902915,131,116,0.6879437189821985
14.722148922671217,8,9.02320764553733,122,113,1,8.237956161508114,83,1,0.5071603822768664
1.8529042349856497,9,6.8577458157732725,203,42,2,9.200360733460071,64,190,0.13688729078866357
15.930312931411708,0,7.760765459998542,158,125,1,5.799293930051917,189,189,0.99
14.232821184731076,4,6.4814414560833855,171,67,3,9.644092735060529,57,43,0.6820720728041694
19.53967330255192,6,8.929033377761545,190,57,2,5.800427451126678,199,199,0.5664516688880773
7.604655272976717,5,11.787624152468481,150,60,3,9.281455649639916,186,5,0.889381207623424
5.880912201923352,0,6.820549630874808,172,53,3,6.985493375044758,86,75,0.99
17.265906263311987,7,5.966688205916575,137,64,1,7.284919741573808,134,119,0.42433441029582875
1.327482284672047,2,5.1969970533807635,185,69,1,9.396548656589841,169,69,0.7898498526690382
9.164592005025657,0,7.492224287141075,164,36,2,8.971677604146423,59,122,0.99
17.030543172557284,2,9.341975576471762,157,121,3,9.682534095509004,49,147,0.99
12.132718880375448,5,10.73157090803503,183,177,2,5.485585145291553,125,71,0.7705785454017514
19.287329132537685,1,6.978530024997389,192,192,1,5.8415152212927,150,23,0.9649265012498695
11.60952508212162,7,8.754939214174215,189,188,2,8.204797349852186,152,134,0.4597469607087108
16.443347124684692,6,7.796032752239143,151,132,3,7.614706336473354,56,177,0.5878016376119573
17.200734635398508,3,9.026721596430939,152,133,1,8.784787706297438,103,151,0.9473360798215471
17.097025213684486,7,11.610025066554128,138,46,1,8.392135394092506,23,47,0.7045012533277064
0.14790589906660923,3,11.820698107083667,184,100,3,6.519017106701851,69,5,0.99
12.329948046709198,0,6.697857355572229,215,31,1,5.06503611132063,90,134,0.99
4.312940931988971,9,8.277827500612025,198,187,3,8.108835048003362,74,63,0.2178913750306012
15.466448053902464,2,5.538256910280721,157,77,3,7.260284929020838,150,52,0.862912845514036
0.3169541565179881,8,9.42935544729496,185,99,3,6.739403403761536,192,153,0.40146777236474795
0.8302199095070305,8,7.4679819922148605,186,39,3,8.516163911937513,45,146,0.30139909961074296
19.042374853673984,6,5.186457459493525,132,116,2,7.57306616362707,142,23,0.49532287297467625
2.8627363543254165,6,6.285492998478348,188,167,2,7.048845504330679,1,135,0.4382746499239174
